Receptor	Ligand	Score(pK)	stdev	Best	NN#1	NN#2	NN#3	NN#4	NN#5	NN#6	NN#7	NN#8	NN#9	NN#10	NN#11	NN#12	NN#13	NN#14	NN#15	NN#16	NN#17	NN#18	NN#19	NN#20
1owh_protein	1owh_ligand	6.397	1.321	11.096	4.962	6.601	7.468	6.226	5.283	6.513	6.072	5.259	6.797	11.096	5.546	6.639	5.088	6.454	5.613	6.192	6.398	5.532	7.334		
1odi_protein	1odi_ligand	5.628	1.908	9.798	8.319	4.25	7.246	5.283	6.708	4.343	5.789	3.958	8.064	3.361	3.21	3.631	4.604	4.654	7.512	9.798	6.181	3.306	5.292		
1os5_protein	1os5_ligand	6.484	1.345	8.297	3.231	6.263	5.73	8.248	6.23	6.071	7.641	8.161	7.309	4.913	6.282	5.892	6.862	8.297	4.123	6.037	7.223	7.936	6.279		
1oyt_protein	1oyt_ligand	6.885	1.384	10.47	4.856	7.16	7.259	6.877	7.345	5.524	8.359	5.853	7.28	4.823	6.684	5.969	8.373	10.47	5.948	6.079	6.909	8.958	6.113		
1oyq_protein	1oyq_ligand	6.37	0.922	7.614	4.905	7.614	6.941	4.922	7.468	6.023	5.498	4.498	6.767	7.384	6.179	6.123	6.291	6.985	5.947	6.957	6.847	7.507	5.674		
1p1n_protein	1p1n_ligand	6.117	0.866	7.596	7.521	6.638	5.905	4.853	6.746	5.626	5.569	4.66	6.532	7.202	7.596	6.098	6.336	6.768	5.524	4.978	5.907	5.171	5.809		
1ogg_protein	1ogg_ligand	4.991	1.947	9.349	2.926	0.828	9.349	6.191	5.399	5.277	3.311	5.558	5.793	4.153	7.805	2.887	3.828	6.173	5.861	4.035	5.557	5.374	2.768		
1odj_protein	1odj_ligand	5.171	2.359	9.284	4.856	5.74	8.674	3.86	7.574	5.303	1.844	4.37	5.732	3.089	2.279	3.288	6.801	-0.034	4.967	6.916	7.045	4.724	9.284		
1ogd_protein	1ogd_ligand	3.344	3.407	15.899	0.619	4.724	3.447	-1.504	1.864	3.65	3.998	1.709	2.701	5.234	4.957	2.75	2.917	1.5	15.899	5.211	2.339	0.915	1.761		
1pa9_protein	1pa9_ligand	4.936	4.529	13.242	9.446	4.365	5.546	7.707	13.06	10.344	-1.333	13.242	-1.026	0.144	1.16	3.489	3.803	5.638	0.452	8.691	1.144	8.138	0.273		
1p19_protein	1p19_ligand	4.413	1.755	7.944	5.14	2.304	3.023	3.15	3.045	3.895	7.944	5.943	2.624	5.693	5.295	3.479	5.314	0.617	4.886	5.379	3.483	7.34	4.4		
1pb8_protein	1pb8_ligand	4.763	1.302	7.118	3.792	5.072	2.974	6.356	6.164	2.798	5.053	4.319	3.528	7.118	6.214	3.928	6.66	5.589	4.614	3.526	4.755	5.459	3.054		
1p1o_protein	1p1o_ligand	6.065	0.983	7.846	5.752	5.595	5.839	7.846	4.7	5.548	4.948	6.305	5.133	7.206	7.46	5.938	4.726	6.259	5.496	5.989	7.7	5.055	6.841		
1p57_protein	1p57_ligand	5.417	1.427	8.802	4.368	5.705	8.802	5.011	5.558	6.193	5.861	4.335	7.942	5.241	6.597	4.367	5.026	5.87	5.372	3.488	4.885	2.907	3.937		
1pb9_protein	1pb9_ligand	4.073	4.025	18.484	6.67	4.415	4.523	4.336	0.692	7.439	2.858	2.511	3.365	-0.725	4.443	4.896	3.491	6.058	3.568	0.989	1.461	2.035	-0.055		
1pbq_protein	1pbq_ligand	6.174	1.469	9.18	4.443	4.544	9.18	8.376	7.206	5.786	5.443	6.98	5.319	4.121	6.471	3.6	6.726	5.486	7.686	6.958	7.4	4.761	6.411		
1olu_protein	1olu_ligand	7.18	2.23	11.925	4.996	7.083	3.763	11.925	10.335	7.172	6.118	8.222	6.264	11.696	7.011	6.428	8.935	3.89	5.693	8.397	7.143	5.557	6.065		
1pme_protein	1pme_ligand	9.305	2.296	16.672	12.849	8.032	8.632	7.501	6.841	8.195	8.342	9.488	16.672	9.653	8.3	8.377	9.362	11.935	9.98	8.085	7.302	8.163	10.52		
1ols_protein	1ols_ligand	7.398	1.804	12.819	5.225	7.74	12.819	6.84	7.494	9.205	8.693	4.918	10.016	8.135	5.689	6.787	7.195	7.321	7.469	6.822	6.261	5.588	6.864		
1pdz_protein	1pdz_ligand	2.846	1.568	5.264	3.347	5.264	5.236	3.564	3.142	-0.614	1.179	1.801	2.26	2.922	3.721	3.391	3.327	4.632	0.072	1.466	2.058	3.482	4.462		
1ppc_protein	1ppc_ligand	6.721	1.319	10.487	6.146	6.898	6.503	5.548	7.781	6.597	6.164	4.551	5.69	8.056	8.356	6.154	10.487	7.608	6.277	7.595	5.525	5.586	5.951		
1pph_protein	1pph_ligand	5.686	0.907	7.768	6.554	4.708	6.022	6.764	5.582	5.831	4.369	4.862	5.591	4.987	3.821	6.154	7.768	5.406	6.445	5.937	5.022	5.566	6.037		
1pot_protein	1pot_ligand	5.924	1.769	9.714	3.996	1.762	4.634	5.848	7.004	5.267	8.422	7.514	4.052	6.535	5.503	6.591	4.379	6.611	5.402	7.613	9.714	5.492	5.272		
1olx_protein	1olx_ligand	9.179	2.671	16.355	7.744	7.639	12.662	8.059	6.63	12.329	9.07	8.523	10.267	10.124	6.955	6.533	9.555	12.984	8.851	9.273	16.355	7.515	5.641		
1ppk_protein	1ppk_ligand	6.246	2.796	11.043	9.673	6.425	6.457	0.895	11.043	5.625	7.965	9.805	5.038	5.37	3.751	7.895	4.271	1.993	7.953	3.162	3.821	6.513	10.39		
1oz0_protein	1oz0_ligand	6.374	1.615	10.54	4.691	5.193	6.887	10.54	5.166	8.058	4.91	6.314	6.518	7.676	6.813	3.562	6.971	7.477	5.801	7.124	6.986	3.535	7.086		
1ppl_protein	1ppl_ligand	6.939	2.425	11.52	9.346	8.54	8.416	7.526	8.217	6.29	9.944	5.376	5.175	6.853	6.822	8.721	4.582	2.464	8.488	5.661	7.731	1.695	11.52		
1pgp_protein	1pgp_ligand	4.915	4.171	16.015	6.364	4.929	5.567	3.249	16.015	15.561	0.289	4.616	5.038	1.83	2.495	4.721	-0.462	3.127	6.304	4.302	2.005	2.029	5.664		
1ppm_protein	1ppm_ligand	5.067	2.325	9.278	9.278	2.275	5.719	5.26	4.336	5.524	7.397	2.753	7.631	6.098	5.285	2.494	-0.924	3.543	7.247	3.953	5.535	7.432	4.616		
1pro_protein	1pro_ligand	7.435	1.514	9.992	9.163	7.654	7.943	6.663	7.866	9.029	8.512	5.054	7.574	7.536	7.074	9.108	4.125	5.877	7.089	9.992	8.764	7.531	5.172		
1phw_protein	1phw_ligand	4.641	4.801	17.654	3.135	17.654	-0.215	-1.534	7.61	6.878	4.373	-0.392	4.241	-1.822	6.522	2.852	4.419	6.239	3.164	13.747	1.681	1.191	7.298		
1ppi_protein	1ppi_ligand	4.228	3.948	14.241	5.245	5.963	9.224	2.854	5.383	2.661	8.737	-0.003	3.157	2.061	-0.117	4.643	5.296	-1.72	2.074	2.331	14.241	-1.093	9.228		
1pxn_protein	1pxn_ligand	7.618	1.12	9.891	8.34	6.183	7.166	8.417	7.191	8.001	6.088	7.716	7.702	8.895	5.691	8.206	7.123	7.056	6.891	7.573	9.891	7.529	6.807		
1pxo_protein	1pxo_ligand	3.383	2.676	6.555	0.742	0.132	5.495	-2.41	-1.53	3.839	4.824	5.303	5.893	6.374	3.29	3.977	1.021	5.118	0.703	5.201	4.743	5.31	3.073		
1pxp_protein	1pxp_ligand	6.709	0.683	7.951	7.133	6.501	6.512	6.614	5.883	5.511	6.837	7.529	7.951	6.093	5.83	6.967	5.951	7.184	6.662	7.711	6.476	7.708	6.815		
1pzp_protein	1pzp_ligand	3.263	0.513	4.427	3.364	3.397	3.076	3.461	2.977	3.633	2.719	3.947	3.854	3.692	3.2	2.323	3.333	2.898	3.302	2.33	3.242	3.186	2.902		
1pyn_protein	1pyn_ligand	6.011	1.287	9.181	4.761	5.795	5.774	6.579	3.825	6.875	9.181	7.187	6.358	7.212	5.467	6.232	4.527	6.47	5.734	3.518	5.449	5.587	6.874		
1pzi_protein	1pzi_ligand	4.879	2.864	15.457	4.48	4.63	4.433	4.593	2.557	3.859	4.643	0.653	4.273	7.256	15.457	5.083	6.586	4.118	5.093	2.767	4.695	5.253	2.725		
1pz5_protein	1pz5_ligand	5.969	2.97	9.878	2.135	6.139	7.976	7.293	5.239	6.081	9.583	2.065	5.69	7.701	3.055	7.165	9.878	5.697	9.875	5.631	9.773	-1.659	5.24		
1q7a_protein	1q7a_ligand	6.444	1.004	7.939	5.52	7.803	6.451	4.599	6.116	7.527	7.939	6.932	5.975	7.21	5.766	5.08	5.505	5.915	7.548	5.32	5.883	7.471	6.914		
1q8t_protein	1q8t_ligand	4.727	0.968	7.151	3.781	4.846	5.578	4.943	5.21	4.67	4.62	4.164	5.521	3.531	4.912	5.921	3.671	4.388	5.644	3.283	7.151	4.246	3.427		
1q8u_protein	1q8u_ligand	6.208	0.603	7.226	6.751	6.356	6.546	4.999	6.396	5.402	6.645	6.1	6.351	6.176	6.088	6.99	6.182	5.398	6.454	5.767	7.226	5.398	5.859		
1q8w_protein	1q8w_ligand	5.706	0.709	6.89	6.701	4.855	6.204	5.619	5.969	4.939	4.682	6.137	5.033	5.855	5.378	4.864	5.812	5.428	6.772	5.271	6.871	5.269	5.568		
1pkx_protein	1pkx_ligand	5.439	1.644	8.585	7.84	5.685	5.495	1.073	5.66	5.398	6.159	4.434	5.807	3.851	5.104	6.744	4.315	6.149	5.479	7.418	3.376	5.506	8.585		
1q5k_protein	1q5k_ligand	7.194	0.867	9.682	6.682	6.925	6.026	7.267	6.534	7.55	8.412	6.685	7.145	6.836	7.13	8.035	7.434	6.785	7.143	7.5	9.682	7.422	5.501		
1q54_protein	1q54_ligand	5.874	4.453	14.569	4.928	6.414	3.96	5.279	5.002	11.831	6.121	-0.157	6.322	5.356	-1.045	5.136	2.493	14.569	13.176	4.027	13.054	-1.136	7.733		
1q72_protein	1q72_ligand	7.689	1.217	10.388	9.09	7.791	5.866	8.498	7.989	7.959	7.126	9.09	7.99	7.079	5.087	8.499	8.205	7.072	8.425	10.388	6.214	7.505	7.189		
1q91_protein	1q91_ligand	4.987	1.04	7.321	4.88	6.372	5.842	7.321	6.382	4.044	4.784	4.543	4.54	5.043	2.816	3.196	5.923	4.729	4.896	4.757	5.202	5.106	4.763		
1qan_protein	1qan_ligand	4.606	1.666	8.069	3.961	4.541	5.787	1.242	8.069	5.437	5.932	4.473	5.702	3.794	3.674	6.027	2.286	6.519	5.65	3.625	5.575	2.313	2.848		
1pr5_protein	1pr5_ligand	5.318	2.175	9.904	6.426	1.994	9.904	3.876	7.637	3.391	4.079	2.554	4.835	4.949	5.06	7.652	3.14	6.12	4.786	8.485	5.232	2.789	5.267		
1qb1_protein	1qb1_ligand	7.092	1.396	10.262	6.762	7.625	6.063	9.198	7.307	6.652	6.215	7.597	7.802	6.169	5.194	6.664	6.959	6.856	9.485	4.833	10.262	8.229	6.051		
1qb6_protein	1qb6_ligand	6.005	0.978	7.665	4.633	5.593	5.812	6.839	7.29	5.899	7.001	7.665	5.84	7.218	5.786	6.466	5.025	6.716	5.604	4.32	5.491	5.564	4.426		
1qb9_protein	1qb9_ligand	7.755	0.824	9.345	7.836	9.254	8.391	7.021	7.105	9.345	7.323	7.925	6.795	8.025	8.711	7.456	7.182	8.354	6.208	7.968	7.608	8.109	6.637		
1qbo_protein	1qbo_ligand	7.349	0.928	8.407	7.411	7.392	4.031	7.928	7.699	7.825	8.407	7.531	6.899	6.932	8.021	7.856	6.774	7.992	6.928	6.408	7.644	7.715	7.843		
1qbs_protein	1qbs_ligand	7.687	1.827	11.852	9.917	4.702	9.455	7.797	9.469	8.208	6.194	4.816	6.274	7.786	6.893	8.087	8.512	6.771	11.852	9.369	8.711	6.45	5.462		
1qbn_protein	1qbn_ligand	6.091	0.982	7.935	6.006	7.041	4.823	5.696	5.988	6.028	7.431	6.01	5.864	7.223	6.126	6.208	6.882	7.08	7.935	3.816	5.934	5.464	5.321		
1qaw_protein	1qaw_ligand	5.846	1.799	10.988	3.891	5.505	6.475	5.638	6.679	7.682	6.128	4.578	5.581	7.212	10.988	4.11	4.908	5.507	4.666	7.221	7.276	2.229	5.201		
1qbu_protein	1qbu_ligand	7.819	2.041	10.902	9.38	5.414	7.488	7.88	10.077	7.392	10.902	8.324	8.244	6.432	9.103	5.027	6.828	2.94	8.327	10.182	8.775	5.083	8.632		
1qbr_protein	1qbr_ligand	10.026	0.951	11.853	10.745	10.318	9.515	10.108	9.419	9.311	10.598	11.853	10.142	9.007	10.835	10.49	10.407	9.999	9.196	11.065	10.907	7.747	8.636		
1qbt_protein	1qbt_ligand	8.65	1.683	12.705	10.689	8.63	7.794	7.761	9.817	8.849	4.892	12.705	9.181	7.596	9.185	7.984	6.364	7.695	9.031	8.3	8.496	8.925	11.275		
1pvn_protein	1pvn_ligand	7.719	2.396	13.976	8.904	13.976	6.171	6.589	8.431	6.887	8.471	5.038	11.952	7.203	9.216	6.19	7.286	4.403	6.963	8.262	8.319	3.75	6.69		
1qft_protein	1qft_ligand	5.679	1.875	8.554	7.957	5.015	5.88	0.717	4.626	6.698	6.541	3.787	4.19	6.641	6.355	6.458	7.529	4.916	5.361	8.554	5.735	8.486	3.634		
1qbv_protein	1qbv_ligand	8.119	1.601	11.853	5.949	10.216	8.116	9.078	7.067	7.382	9.123	8.58	6.543	9.468	6.259	7.774	8.722	5.686	6.16	8.161	7.969	8.194	11.853		
1qhc_protein	1qhc_ligand	8.62	4.172	18.475	8.39	8.129	7.059	5.674	10.711	5.704	15.862	8.245	18.475	5.577	6.317	15.513	8.871	2.271	5.58	5.774	4.972	8.033	13.389		
1q84_protein	1q84_ligand	10.299	1.963	13.189	12.192	7.144	12.22	7.671	8.934	8.363	11.958	10.826	13.189	9.032	11.267	7.505	12.729	7.155	10.64	11.259	11.722	11.879	9.751		
1q1g_protein	1q1g_ligand	8.669	2.392	14.063	10.521	9.185	9.077	4.989	4.296	8.206	9.219	8.553	9.93	5.282	14.063	9.547	8.813	7.299	11.029	7.196	11.447	5.624	9.038		
1ql7_protein	1ql7_ligand	6.307	2.23	9.61	7.429	7.307	4.06	1.486	6.192	4.703	1.906	8.275	6.784	3.936	8.62	7.839	9.61	6.668	5.124	8.742	5.768	8.456	5.872		
1ql9_protein	1ql9_ligand	8.548	2.082	12.723	9.293	6.269	10.784	8.435	7.954	9.689	8.432	7.553	6.272	5.121	8.012	8.055	11.083	7.452	8.817	6.355	12.006	6.147	10.5		
1qkt_protein	1qkt_ligand	7.748	0.903	9.704	6.942	8.252	7.919	8.397	7.909	7.249	8.845	7.85	8.437	9.704	6.655	7.632	8.299	7.113	6.3	7.37	7.582	8.778	7.731		
1rbp_protein	1rbp_ligand	7.802	0.901	9.562	7.565	7.991	8.511	7.727	6.609	8.497	8.746	7.626	8.429	9.562	6.68	8.645	5.794	7.428	6.793	8.097	8.583	8.017	7.71		
1qxk_protein	1qxk_ligand	5.285	1.416	8.894	6.221	5.525	5.61	2.78	4.848	5.396	5.228	3.52	4.377	7.208	3.087	6.051	4.546	6.475	5.422	6.123	5.626	8.894	4.247		
1qyg_protein	1qyg_ligand	7.454	1.692	10.724	7.545	7.273	7.192	9.446	6.427	8.163	6.026	9.923	7.077	6.238	7.337	8.009	10.724	7.026	8.859	8.525	2.777	7.877	6.125		
1r9l_protein	1r9l_ligand	5.062	1.896	8.195	8.195	4.011	2.724	6.61	7.264	4.536	2.273	5.5	6.589	2.318	6.379	5.823	4.653	2.099	4.665	7.336	6.676	6.448	4.271		
1r0p_protein	1r0p_ligand	6.84	1.615	10.032	8.495	3.713	3.497	7.973	6.72	6.46	5.102	7.794	7.82	10.032	7.003	8.222	6.376	5.661	5.734	8.787	7.276	6.917	6.107		
1qkb_protein	1qkb_ligand	6.923	2.309	10.121	6.789	8.443	6.151	6.538	7.435	6.004	8.628	7.11	5.731	7.209	8.782	10.121	7.313	6.249	8.577	-1.419	7.522	5.53	8.868		
1rd4_protein	1rd4_ligand	7.538	1.447	11.895	8.653	7.911	6.633	6.375	8.791	8.289	8.264	7.27	6.486	9.475	6.809	5.341	6.705	7.0	6.456	11.895	6.267	6.83	7.624		
1qk3_protein	1qk3_ligand	5.15	2.876	11.257	7.092	4.818	3.948	1.055	0.133	4.32	11.257	3.012	7.317	3.866	3.047	5.465	9.092	3.387	7.33	4.938	4.639	4.924	2.932		
1rjk_protein	1rjk_ligand	9.171	2.084	12.451	12.451	9.896	11.789	4.643	7.189	10.59	11.909	8.798	8.655	6.872	8.902	7.826	7.986	7.541	12.114	9.349	11.454	7.926	9.987		
1rnm_protein	1rnm_ligand	4.7	2.174	12.62	4.643	5.864	3.262	5.568	4.195	4.306	12.62	3.372	3.065	4.842	3.406	3.666	4.447	7.471	4.561	2.922	3.203	4.869	3.282		
1qka_protein	1qka_ligand	6.961	2.054	11.893	4.755	8.142	6.723	7.886	5.443	6.14	8.736	7.107	5.452	8.105	7.223	8.08	7.379	2.355	8.071	3.488	6.602	8.622	11.893		
1qk4_protein	1qk4_ligand	4.086	1.924	8.017	3.648	4.428	5.449	3.523	4.682	3.403	8.017	4.398	5.463	5.139	2.413	3.402	0.325	0.067	5.657	6.45	5.546	4.097	3.672		
1rnt_protein	1rnt_ligand	4.238	2.888	9.934	6.819	6.278	2.582	-1.315	-1.287	1.022	2.692	7.047	4.58	9.934	3.882	4.35	5.05	0.461	3.976	6.365	4.749	4.641	6.051		
1rpf_protein	1rpf_ligand	5.633	2.921	11.891	11.891	4.019	2.747	3.124	7.467	3.779	10.995	4.551	5.431	4.784	6.105	6.186	2.176	0.76	5.348	4.479	9.894	4.641	5.28		
1s19_protein	1s19_ligand	9.204	1.924	12.015	10.016	9.745	7.853	7.148	7.43	10.433	11.821	8.574	8.407	11.332	9.29	10.799	4.49	7.416	12.015	8.023	9.937	7.798	11.643		
1rtf_protein	1rtf_ligand	3.899	0.8	4.98	2.688	2.779	4.705	4.131	4.274	3.23	4.98	3.871	4.644	3.755	4.598	4.146	4.885	2.789	2.96	2.75	3.339	4.312	4.728		
1rql_protein	1rql_ligand	2.993	2.987	11.253	7.63	6.998	0.113	3.333	3.053	11.253	4.587	4.595	2.227	2.958	-1.365	0.577	1.589	2.506	1.008	1.017	0.504	0.485	2.42		
1sbg_protein	1sbg_ligand	7.956	1.275	11.684	8.85	7.065	7.358	11.684	7.863	9.138	6.13	7.718	7.162	7.63	8.564	8.988	7.013	8.784	7.145	8.044	7.141	7.779	5.986		
1sb1_protein	1sb1_ligand	7.112	1.087	10.289	6.592	6.726	6.862	7.52	7.019	5.796	6.609	8.023	7.035	5.434	8.138	7.089	6.059	7.16	6.494	8.363	10.289	8.137	6.493		
1sdt_protein	1sdt_ligand	8.231	1.028	9.938	8.408	8.064	9.924	8.092	9.672	7.437	9.127	6.498	9.938	7.159	8.708	6.673	8.58	8.294	8.701	9.321	7.524	7.884	7.444		
1sgu_protein	1sgu_ligand	6.96	1.612	10.297	7.595	7.342	10.297	7.764	8.551	7.457	8.722	5.075	6.596	5.93	7.127	5.431	8.359	3.208	5.906	5.833	6.676	8.854	5.563		
1sdu_protein	1sdu_ligand	8.453	2.232	17.132	9.224	6.809	8.819	8.679	7.918	6.473	8.271	8.423	7.458	17.132	8.424	8.343	7.054	7.305	8.66	10.134	7.908	7.921	6.981		
1sh9_protein	1sh9_ligand	6.455	1.387	8.522	7.556	7.903	5.683	5.762	6.496	7.512	7.667	7.972	6.677	6.685	5.961	3.027	6.597	6.591	7.322	5.979	4.314	6.711	8.522		
1sdv_protein	1sdv_ligand	8.036	0.922	9.529	8.458	7.533	7.851	8.211	9.25	7.64	8.719	6.673	9.529	6.448	9.296	6.712	8.817	8.438	8.701	8.796	7.541	7.684	7.03		
1siv_protein	1siv_ligand	7.851	1.35	10.031	8.755	9.464	8.202	7.67	6.477	8.236	9.599	7.224	10.031	8.144	8.183	7.627	7.387	7.676	7.708	5.658	7.571	8.42	8.884		
1rr6_protein	1rr6_ligand	5.265	1.797	7.912	3.265	4.267	5.998	3.265	7.647	6.683	3.878	5.007	6.804	2.393	2.42	7.506	6.474	4.38	7.912	5.182	4.07	7.191	4.081		
1s89_protein	1s89_ligand	4.503	1.373	8.004	4.541	1.578	3.509	2.764	3.785	8.004	5.304	4.731	5.398	5.096	3.528	5.221	3.597	4.442	3.279	5.365	5.293	4.571	6.237		
1s5z_protein	1s5z_ligand	3.202	1.489	5.961	1.559	2.975	3.02	3.601	1.702	1.637	0.641	0.895	4.121	4.468	4.202	3.004	5.961	4.76	5.334	1.958	4.217	2.528	4.408		
1sl3_protein	1sl3_ligand	11.422	1.891	14.856	12.844	11.448	9.849	10.942	11.498	10.238	14.856	8.29	10.845	9.219	12.421	8.884	12.439	14.631	10.044	12.591	14.78	11.593	10.642		
1sqa_protein	1sqa_ligand	8.778	3.713	18.469	5.854	3.625	7.072	8.365	6.891	8.278	14.646	18.469	11.029	7.248	8.409	8.634	4.297	15.099	8.364	5.918	6.904	5.992	10.495		
1sqo_protein	1sqo_ligand	8.343	1.653	11.839	9.36	3.549	8.495	8.841	7.753	7.177	9.48	7.618	10.536	7.239	8.871	8.321	8.037	11.839	8.613	9.293	7.254	7.053	7.97		
1sld_protein	1sld_ligand	5.828	4.303	16.265	5.378	11.092	7.583	-1.586	2.63	7.135	13.874	6.909	3.278	3.904	6.598	16.265	2.564	7.684	5.957	3.108	2.86	0.186	7.307		
1sqt_protein	1sqt_ligand	6.842	1.869	11.031	5.586	3.174	7.681	5.045	6.509	5.818	6.456	7.471	8.502	8.255	5.236	7.894	4.721	8.87	7.515	4.29	11.031	8.837	7.193		
1sv3_protein	1sv3_ligand	4.455	0.616	5.514	4.515	4.697	5.035	5.17	4.395	5.065	4.689	4.211	3.341	4.657	3.967	3.382	5.514	3.879	3.361	4.203	4.645	4.624	4.818		
1sr7_protein	1sr7_ligand	10.023	1.39	12.592	9.459	9.702	6.65	11.681	10.022	11.188	8.577	11.208	10.698	8.471	9.378	12.592	10.941	11.07	10.57	10.942	8.485	10.189	10.018		
1srg_protein	1srg_ligand	6.12	2.409	11.925	9.103	8.065	6.915	6.039	6.164	6.318	4.489	2.323	5.515	6.674	3.054	5.138	6.932	6.981	2.133	7.699	11.925	2.612	7.795		
1stc_protein	1stc_ligand	8.176	1.306	9.58	9.569	7.3	7.827	5.668	7.157	9.58	8.39	9.497	9.48	9.413	8.387	8.617	6.175	7.968	8.192	9.512	7.58	8.093	5.548		
1sw2_protein	1sw2_ligand	6.303	1.551	8.666	8.666	3.41	5.803	4.827	7.03	5.978	4.303	7.648	8.361	5.784	7.602	2.953	6.776	5.895	6.769	6.137	6.274	7.006	8.387		
1str_protein	1str_ligand	4.322	4.38	18.484	2.897	4.016	0.783	1.553	1.511	2.907	8.186	10.903	2.904	0.859	4.939	5.444	0.802	6.532	1.714	3.365	-0.143	1.85	6.929		
1swg_protein	1swg_ligand	8.059	1.467	10.721	6.097	8.135	8.615	9.053	7.356	8.576	10.144	7.102	6.489	6.178	7.706	7.892	6.631	8.509	9.476	10.721	6.32	6.441	9.862		
1swr_protein	1swr_ligand	8.958	1.898	13.441	9.153	9.526	8.002	8.362	7.631	9.455	7.388	8.494	11.863	10.244	9.927	13.441	11.044	7.281	9.37	9.062	5.69	5.474	8.245		
1t4v_protein	1t4v_ligand	6.733	5.267	15.836	11.398	6.184	10.779	3.215	3.436	13.042	6.278	7.334	7.558	7.413	4.433	15.692	-0.722	0.42	-3.189	7.419	0.133	10.909	15.836		
1t7d_protein	1t7d_ligand	5.802	1.03	7.606	5.255	5.337	3.864	7.545	7.212	5.865	4.818	4.839	5.893	5.264	4.3	7.606	5.546	6.269	5.664	6.638	6.536	5.205	5.507		
1syh_protein	1syh_ligand	6.458	0.98	8.688	7.846	6.139	5.869	7.862	6.422	5.673	5.613	7.062	5.818	7.223	6.825	5.684	4.866	6.696	5.425	6.627	6.633	5.215	8.688		
1t7j_protein	1t7j_ligand	8.13	1.478	10.841	9.76	9.115	10.841	9.369	8.758	6.95	8.495	7.866	6.5	7.675	7.869	9.105	5.518	9.303	5.549	9.631	8.092	5.881	7.485		
1td7_protein	1td7_ligand	8.948	4.749	17.644	2.669	5.347	5.923	9.778	16.794	6.865	9.321	1.402	17.644	13.284	2.996	6.048	9.835	14.244	5.541	5.299	7.723	13.579	13.987		
1ta6_protein	1ta6_ligand	9.083	1.265	11.528	8.685	10.544	8.887	9.043	8.354	7.983	10.377	9.797	9.456	8.494	9.67	7.23	10.35	11.528	8.59	8.561	7.709	6.268	10.11		
1tcx_protein	1tcx_ligand	7.539	0.848	8.858	7.777	7.951	7.977	8.456	7.429	7.03	6.312	8.146	6.926	7.388	8.685	8.858	8.634	7.792	6.258	6.831	7.048	7.93	5.804		
1t32_protein	1t32_ligand	8.498	2.681	15.642	10.502	9.134	8.232	7.542	4.307	7.485	12.934	10.926	9.075	8.228	5.639	7.879	8.229	3.507	7.676	7.783	9.129	8.124	15.642		
1syi_protein	1syi_ligand	6.121	0.881	7.513	4.642	5.673	5.96	7.513	5.01	5.616	5.466	6.969	5.801	7.205	5.754	5.599	7.165	6.494	5.911	6.519	4.69	7.446	5.962		
1tng_protein	1tng_ligand	2.489	1.129	5.113	1.921	2.687	3.185	1.987	1.432	1.519	4.4	2.739	2.359	1.452	2.981	3.949	1.516	3.578	5.113	2.436	0.449	2.152	2.069		
1tnh_protein	1tnh_ligand	3.926	1.081	5.439	4.283	5.439	3.475	4.475	4.897	3.237	4.748	1.045	3.55	4.876	3.602	4.131	4.824	3.533	1.791	3.957	4.648	4.95	3.147		
1rp7_protein	1rp7_ligand	8.405	3.064	14.633	13.454	11.299	5.603	5.416	5.427	10.195	14.633	10.765	7.757	9.045	6.866	8.482	5.699	14.093	8.628	5.931	6.96	5.191	5.561		
1t5f_protein	1t5f_ligand	3.144	2.59	8.61	6.177	-0.846	2.699	5.212	5.235	1.996	5.813	2.194	2.152	5.562	0.039	2.09	4.347	-1.787	2.713	8.61	4.802	1.15	3.544		
1tni_protein	1tni_ligand	3.681	0.724	4.917	4.143	3.494	4.369	4.047	3.171	2.85	4.917	4.61	3.877	2.571	3.773	3.624	3.967	3.455	3.027	2.493	4.664	2.634	3.599		
1tom_protein	1tom_ligand	7.004	1.684	10.482	6.461	9.38	6.305	7.859	7.086	10.482	6.141	8.372	8.076	4.861	8.008	6.703	4.479	7.781	8.494	3.302	7.283	5.635	6.477		
1trd_protein	1trd_ligand	4.791	1.949	11.41	5.428	4.599	3.007	3.915	11.41	5.068	5.449	4.309	6.864	2.57	5.78	3.659	4.897	4.055	4.697	2.79	3.657	5.294	2.617		
1tx7_protein	1tx7_ligand	3.873	2.074	8.685	8.685	5.856	5.61	0.75	0.746	3.012	5.845	4.337	4.958	3.847	1.43	1.762	3.299	1.046	5.528	3.348	5.3	5.106	3.031		
1tpw_protein	1tpw_ligand	4.219	1.561	7.007	2.007	4.102	2.986	5.428	5.851	3.352	3.953	7.007	3.467	2.567	6.115	3.702	3.794	3.0	6.533	3.838	2.043	4.968	2.995		
1ssq_protein	1ssq_ligand	5.862	5.497	15.734	-1.066	6.194	4.498	-1.291	11.989	0.875	15.734	5.821	14.842	3.706	-2.633	3.067	9.372	10.606	2.899	-1.034	10.328	5.473	11.911		
1tq4_protein	1tq4_ligand	5.381	1.465	8.266	6.345	4.514	6.176	4.371	5.267	5.403	2.548	6.699	5.43	3.888	8.266	5.772	5.37	2.708	5.444	4.702	6.249	5.562	8.223		
1tsy_protein	1tsy_ligand	5.439	2.351	9.291	5.474	6.151	7.614	2.262	7.511	-0.822	4.884	9.291	7.231	4.958	2.455	6.234	3.776	4.334	8.247	4.911	6.78	4.307	6.303		
