Receptor	Ligand	DSX_Score_pK	PCS	tors_score	sas_score	hb_scor
2zcr_protein	2zcr_ligand	-101.618	-0.146	0.000	0.000	0.000	
2zdk_protein	2zdk_ligand	-153.359	-0.218	0.000	0.000	0.000	
2zq2_protein	2zq2_ligand	-157.586	-0.211	0.000	0.000	0.000	
2ypo_protein	2ypo_ligand	-74.802	-0.214	0.000	0.000	0.000	
2zn7_protein	2zn7_ligand	-116.417	-0.173	0.000	0.000	0.000	
2zft_protein	2zft_ligand	-147.759	-0.210	0.000	0.000	0.000	
2zkj_protein	2zkj_ligand	-132.939	-0.186	0.000	0.000	0.000	
2y8c_protein	2y8c_ligand	-134.174	-0.210	0.000	0.000	0.000	
2zgx_protein	2zgx_ligand	-144.673	-0.225	0.000	0.000	0.000	
2zz2_protein	2zz2_ligand	-112.446	-0.179	0.000	0.000	0.000	
2zfp_protein	2zfp_ligand	-125.428	-0.214	0.000	0.000	0.000	
2zq0_protein	2zq0_ligand	-161.737	-0.176	0.000	0.000	0.000	
2zym_protein	2zym_ligand	-192.734	-0.176	0.000	0.000	0.000	
2zy1_protein	2zy1_ligand	-111.042	-0.193	0.000	0.000	0.000	
2zdn_protein	2zdn_ligand	-152.079	-0.215	0.000	0.000	0.000	
2zz1_protein	2zz1_ligand	-114.662	-0.171	0.000	0.000	0.000	
3a2o_protein	3a2o_ligand	-203.770	-0.214	0.000	0.000	0.000	
2zmm_protein	2zmm_ligand	-121.757	-0.185	0.000	0.000	0.000	
3a1e_protein	3a1e_ligand	-124.535	-0.153	0.000	0.000	0.000	
3aaq_protein	3aaq_ligand	-125.458	-0.164	0.000	0.000	0.000	
3a6t_protein	3a6t_ligand	-124.802	-0.206	0.000	0.000	0.000	
3aau_protein	3aau_ligand	-100.693	-0.153	0.000	0.000	0.000	
3a1d_protein	3a1d_ligand	-127.220	-0.179	0.000	0.000	0.000	
2zx6_protein	2zx6_ligand	-122.913	-0.185	0.000	0.000	0.000	
3acw_protein	3acw_ligand	-122.031	-0.218	0.000	0.000	0.000	
3acx_protein	3acx_ligand	-133.270	-0.215	0.000	0.000	0.000	
3ap4_protein	3ap4_ligand	-63.599	-0.188	0.000	0.000	0.000	
3ag9_protein	3ag9_ligand	-160.276	-0.175	0.000	0.000	0.000	
3aid_protein	3aid_ligand	-156.967	-0.221	0.000	0.000	0.000	
3a5y_protein	3a5y_ligand	-183.635	-0.187	0.000	0.000	0.000	
2zx8_protein	2zx8_ligand	-124.473	-0.175	0.000	0.000	0.000	
3alt_protein	3alt_ligand	-54.078	-0.156	0.000	0.000	0.000	
3arp_protein	3arp_ligand	-124.514	-0.199	0.000	0.000	0.000	
3agl_protein	3agl_ligand	-215.545	-0.186	0.000	0.000	0.000	
3ai8_protein	3ai8_ligand	-41.850	-0.103	0.000	0.000	0.000	
3arx_protein	3arx_ligand	-73.906	-0.144	0.000	0.000	0.000	
2zxd_protein	2zxd_ligand	-68.685	-0.174	0.000	0.000	0.000	
3b3x_protein	3b3x_ligand	-16.412	-0.047	0.000	0.000	0.000	
3axz_protein	3axz_ligand	-120.059	-0.171	0.000	0.000	0.000	
3b4p_protein	3b4p_ligand	-84.938	-0.195	0.000	0.000	0.000	
2zx7_protein	2zx7_ligand	-103.164	-0.171	0.000	0.000	0.000	
2zda_protein	2zda_ligand	-164.973	-0.227	0.000	0.000	0.000	
3a1c_protein	3a1c_ligand	-140.100	-0.169	0.000	0.000	0.000	
3arw_protein	3arw_ligand	-81.076	-0.184	0.000	0.000	0.000	
3arq_protein	3arq_ligand	-97.917	-0.157	0.000	0.000	0.000	
2zwz_protein	2zwz_ligand	-78.531	-0.177	0.000	0.000	0.000	
3b1m_protein	3b1m_ligand	-151.034	-0.190	0.000	0.000	0.000	
3b2q_protein	3b2q_ligand	-86.397	-0.104	0.000	0.000	0.000	
3b24_protein	3b24_ligand	-46.832	-0.168	0.000	0.000	0.000	
3bfu_protein	3bfu_ligand	-82.037	-0.179	0.000	0.000	0.000	
3bex_protein	3bex_ligand	-80.273	-0.193	0.000	0.000	0.000	
3b5r_protein	3b5r_ligand	-134.393	-0.165	0.000	0.000	0.000	
3b66_protein	3b66_ligand	-145.186	-0.171	0.000	0.000	0.000	
3bbb_protein	3bbb_ligand	-56.009	-0.117	0.000	0.000	0.000	
3b25_protein	3b25_ligand	-68.006	-0.171	0.000	0.000	0.000	
3b27_protein	3b27_ligand	-63.104	-0.170	0.000	0.000	0.000	
3bbf_protein	3bbf_ligand	-90.245	-0.156	0.000	0.000	0.000	
3bgq_protein	3bgq_ligand	-106.413	-0.194	0.000	0.000	0.000	
3b67_protein	3b67_ligand	-149.194	-0.168	0.000	0.000	0.000	
3bu1_protein	3bu1_ligand	-48.306	-0.181	0.000	0.000	0.000	
3b7j_protein	3b7j_ligand	-34.826	-0.117	0.000	0.000	0.000	
3bgb_protein	3bgb_ligand	-160.748	-0.202	0.000	0.000	0.000	
3b26_protein	3b26_ligand	-93.275	-0.192	0.000	0.000	0.000	
3bgs_protein	3bgs_ligand	-106.105	-0.195	0.000	0.000	0.000	
3bgc_protein	3bgc_ligand	-184.608	-0.187	0.000	0.000	0.000	
3brn_protein	3brn_ligand	-70.742	-0.191	0.000	0.000	0.000	
3bqc_protein	3bqc_ligand	-74.077	-0.155	0.000	0.000	0.000	
3bv9_protein	3bv9_ligand	-163.243	-0.212	0.000	0.000	0.000	
3be9_protein	3be9_ligand	-137.299	-0.201	0.000	0.000	0.000	
3bxe_protein	3bxe_ligand	-46.999	-0.139	0.000	0.000	0.000	
3bgz_protein	3bgz_ligand	-101.180	-0.206	0.000	0.000	0.000	
3b65_protein	3b65_ligand	-118.476	-0.171	0.000	0.000	0.000	
3bwj_protein	3bwj_ligand	-204.730	-0.197	0.000	0.000	0.000	
3bug_protein	3bug_ligand	-43.860	-0.180	0.000	0.000	0.000	
3buh_protein	3buh_ligand	-66.891	-0.218	0.000	0.000	0.000	
3bra_protein	3bra_ligand	-37.863	-0.204	0.000	0.000	0.000	
3buf_protein	3buf_ligand	-33.726	-0.175	0.000	0.000	0.000	
3bxf_protein	3bxf_ligand	-95.457	-0.160	0.000	0.000	0.000	
3c39_protein	3c39_ligand	-58.629	-0.183	0.000	0.000	0.000	
3bvb_protein	3bvb_ligand	-183.381	-0.201	0.000	0.000	0.000	
3c4h_protein	3c4h_ligand	-80.127	-0.190	0.000	0.000	0.000	
3c2o_protein	3c2o_ligand	-35.996	-0.101	0.000	0.000	0.000	
3c2r_protein	3c2r_ligand	-34.207	-0.096	0.000	0.000	0.000	
3bxg_protein	3bxg_ligand	-90.158	-0.161	0.000	0.000	0.000	
3ccz_protein	3ccz_ligand	-138.241	-0.189	0.000	0.000	0.000	
3bzf_protein	3bzf_ligand	-230.316	-0.192	0.000	0.000	0.000	
3bva_protein	3bva_ligand	-248.263	-0.218	0.000	0.000	0.000	
3c84_protein	3c84_ligand	-90.373	-0.169	0.000	0.000	0.000	
3cfn_protein	3cfn_ligand	-88.643	-0.196	0.000	0.000	0.000	
3cct_protein	3cct_ligand	-154.288	-0.193	0.000	0.000	0.000	
3bxh_protein	3bxh_ligand	-98.886	-0.181	0.000	0.000	0.000	
3b68_protein	3b68_ligand	-169.680	-0.182	0.000	0.000	0.000	
3cd0_protein	3cd0_ligand	-144.070	-0.187	0.000	0.000	0.000	
3cd7_protein	3cd7_ligand	-156.803	-0.190	0.000	0.000	0.000	
3cj5_protein	3cj5_ligand	-108.315	-0.224	0.000	0.000	0.000	
3c2u_protein	3c2u_ligand	-102.618	-0.176	0.000	0.000	0.000	
3cd5_protein	3cd5_ligand	-176.140	-0.206	0.000	0.000	0.000	
3cf8_protein	3cf8_ligand	-62.828	-0.131	0.000	0.000	0.000	
3cdb_protein	3cdb_ligand	-142.696	-0.171	0.000	0.000	0.000	
3cow_protein	3cow_ligand	-181.966	-0.203	0.000	0.000	0.000	
3cs7_protein	3cs7_ligand	-184.345	-0.200	0.000	0.000	0.000	
3cda_protein	3cda_ligand	-153.060	-0.176	0.000	0.000	0.000	
3ckb_protein	3ckb_ligand	-85.948	-0.162	0.000	0.000	0.000	
3coz_protein	3coz_ligand	-170.948	-0.200	0.000	0.000	0.000	
3ckp_protein	3ckp_ligand	-161.896	-0.191	0.000	0.000	0.000	
3c2f_protein	3c2f_ligand	-32.963	-0.092	0.000	0.000	0.000	
3cke_protein	3cke_ligand	-81.692	-0.170	0.000	0.000	0.000	
3coy_protein	3coy_ligand	-181.158	-0.205	0.000	0.000	0.000	
3d1z_protein	3d1z_ligand	-189.291	-0.202	0.000	0.000	0.000	
3d1x_protein	3d1x_ligand	-216.849	-0.209	0.000	0.000	0.000	
3d6o_protein	3d6o_ligand	-68.293	-0.188	0.000	0.000	0.000	
3d1y_protein	3d1y_ligand	-220.728	-0.214	0.000	0.000	0.000	
3d0b_protein	3d0b_ligand	-125.076	-0.188	0.000	0.000	0.000	
3d6p_protein	3d6p_ligand	-69.793	-0.189	0.000	0.000	0.000	
3ccw_protein	3ccw_ligand	-135.987	-0.187	0.000	0.000	0.000	
3d0e_protein	3d0e_ligand	-156.797	-0.195	0.000	0.000	0.000	
3cyx_protein	3cyx_ligand	-217.268	-0.206	0.000	0.000	0.000	
3d7z_protein	3d7z_ligand	-165.639	-0.221	0.000	0.000	0.000	
3d83_protein	3d83_ligand	-181.941	-0.217	0.000	0.000	0.000	
3cyz_protein	3cyz_ligand	-56.507	-0.165	0.000	0.000	0.000	
3cz1_protein	3cz1_ligand	-61.338	-0.169	0.000	0.000	0.000	
3cyw_protein	3cyw_ligand	-177.812	-0.188	0.000	0.000	0.000	
3djo_protein	3djo_ligand	-67.324	-0.163	0.000	0.000	0.000	
3djq_protein	3djq_ligand	-75.999	-0.182	0.000	0.000	0.000	
3cft_protein	3cft_ligand	-68.723	-0.202	0.000	0.000	0.000	
3ckz_protein	3ckz_ligand	-91.752	-0.152	0.000	0.000	0.000	
3ctt_protein	3ctt_ligand	-76.529	-0.170	0.000	0.000	0.000	
3djx_protein	3djx_ligand	-78.909	-0.175	0.000	0.000	0.000	
3d78_protein	3d78_ligand	-77.406	-0.204	0.000	0.000	0.000	
3d91_protein	3d91_ligand	-208.545	-0.215	0.000	0.000	0.000	
3djk_protein	3djk_ligand	-197.439	-0.211	0.000	0.000	0.000	
3da9_protein	3da9_ligand	-134.457	-0.232	0.000	0.000	0.000	
3djp_protein	3djp_ligand	-70.011	-0.154	0.000	0.000	0.000	
3cl0_protein	3cl0_ligand	-91.090	-0.192	0.000	0.000	0.000	
3dne_protein	3dne_ligand	-79.027	-0.192	0.000	0.000	0.000	
3dp9_protein	3dp9_ligand	-137.169	-0.173	0.000	0.000	0.000	
3drf_protein	3drf_ligand	-197.390	-0.192	0.000	0.000	0.000	
3d7k_protein	3d7k_ligand	-190.273	-0.174	0.000	0.000	0.000	
3e92_protein	3e92_ligand	-152.432	-0.204	0.000	0.000	0.000	
3dzt_protein	3dzt_ligand	-144.758	-0.212	0.000	0.000	0.000	
3e6y_protein	3e6y_ligand	-101.625	-0.219	0.000	0.000	0.000	
3e93_protein	3e93_ligand	-202.801	-0.222	0.000	0.000	0.000	
3dnd_protein	3dnd_ligand	-72.395	-0.207	0.000	0.000	0.000	
3drg_protein	3drg_ligand	-271.085	-0.195	0.000	0.000	0.000	
3ebl_protein	3ebl_ligand	-131.087	-0.227	0.000	0.000	0.000	
3djv_protein	3djv_ligand	-87.028	-0.181	0.000	0.000	0.000	
3dsz_protein	3dsz_ligand	-141.566	-0.179	0.000	0.000	0.000	
3eax_protein	3eax_ligand	-69.130	-0.158	0.000	0.000	0.000	
3eb1_protein	3eb1_ligand	-42.769	-0.117	0.000	0.000	0.000	
3dk1_protein	3dk1_ligand	-203.474	-0.213	0.000	0.000	0.000	
3d8z_protein	3d8z_ligand	-73.636	-0.194	0.000	0.000	0.000	
3dri_protein	3dri_ligand	-83.190	-0.189	0.000	0.000	0.000	
3ekt_protein	3ekt_ligand	-188.160	-0.201	0.000	0.000	0.000	
3ed0_protein	3ed0_ligand	-67.364	-0.151	0.000	0.000	0.000	
3ekp_protein	3ekp_ligand	-182.611	-0.207	0.000	0.000	0.000	
3eeb_protein	3eeb_ligand	-81.191	-0.131	0.000	0.000	0.000	
3ekr_protein	3ekr_ligand	-94.897	-0.196	0.000	0.000	0.000	
3ery_protein	3ery_ligand	-218.596	-0.165	0.000	0.000	0.000	
3e3c_protein	3e3c_ligand	-82.481	-0.184	0.000	0.000	0.000	
3egt_protein	3egt_ligand	-116.700	-0.170	0.000	0.000	0.000	
3el5_protein	3el5_ligand	-189.112	-0.202	0.000	0.000	0.000	
3ekw_protein	3ekw_ligand	-247.564	-0.232	0.000	0.000	0.000	
3eko_protein	3eko_ligand	-71.424	-0.180	0.000	0.000	0.000	
3eqr_protein	3eqr_ligand	-179.665	-0.212	0.000	0.000	0.000	
3ebp_protein	3ebp_ligand	-88.744	-0.160	0.000	0.000	0.000	
3ebo_protein	3ebo_ligand	-80.655	-0.158	0.000	0.000	0.000	
3ekv_protein	3ekv_ligand	-183.964	-0.208	0.000	0.000	0.000	
3evd_protein	3evd_ligand	-76.461	-0.140	0.000	0.000	0.000	
3el9_protein	3el9_ligand	-237.817	-0.232	0.000	0.000	0.000	
3f3c_protein	3f3c_ligand	-90.283	-0.168	0.000	0.000	0.000	
3f8f_protein	3f8f_ligand	-114.251	-0.166	0.000	0.000	0.000	
3f70_protein	3f70_ligand	-30.982	-0.153	0.000	0.000	0.000	
3f68_protein	3f68_ligand	-162.236	-0.221	0.000	0.000	0.000	
3el4_protein	3el4_ligand	-210.767	-0.214	0.000	0.000	0.000	
3f78_protein	3f78_ligand	-55.162	-0.162	0.000	0.000	0.000	
3f48_protein	3f48_ligand	-50.780	-0.176	0.000	0.000	0.000	
3f3e_protein	3f3e_ligand	-80.788	-0.200	0.000	0.000	0.000	
3f8c_protein	3f8c_ligand	-127.201	-0.182	0.000	0.000	0.000	
3fhb_protein	3fhb_ligand	-65.669	-0.164	0.000	0.000	0.000	
3ffg_protein	3ffg_ligand	-199.337	-0.176	0.000	0.000	0.000	
3f3d_protein	3f3d_ligand	-71.105	-0.180	0.000	0.000	0.000	
3fat_protein	3fat_ligand	-80.710	-0.171	0.000	0.000	0.000	
3exe_protein	3exe_ligand	-136.200	-0.176	0.000	0.000	0.000	
3el1_protein	3el1_ligand	-230.399	-0.227	0.000	0.000	0.000	
3ekx_protein	3ekx_ligand	-198.325	-0.213	0.000	0.000	0.000	
3fas_protein	3fas_ligand	-75.095	-0.195	0.000	0.000	0.000	
3f6e_protein	3f6e_ligand	-199.132	-0.180	0.000	0.000	0.000	
3exh_protein	3exh_ligand	-128.999	-0.179	0.000	0.000	0.000	
3fv2_protein	3fv2_ligand	-121.659	-0.184	0.000	0.000	0.000	
3fvk_protein	3fvk_ligand	-119.005	-0.187	0.000	0.000	0.000	
3fuz_protein	3fuz_ligand	-67.862	-0.180	0.000	0.000	0.000	
3fvn_protein	3fvn_ligand	-119.339	-0.189	0.000	0.000	0.000	
3fvh_protein	3fvh_ligand	-135.937	-0.216	0.000	0.000	0.000	
3f80_protein	3f80_ligand	-40.820	-0.120	0.000	0.000	0.000	
3fv1_protein	3fv1_ligand	-135.800	-0.197	0.000	0.000	0.000	
3g0w_protein	3g0w_ligand	-129.359	-0.189	0.000	0.000	0.000	
3fuc_protein	3fuc_ligand	-143.807	-0.196	0.000	0.000	0.000	
3g1d_protein	3g1d_ligand	-110.882	-0.181	0.000	0.000	0.000	
3g0e_protein	3g0e_ligand	-116.773	-0.206	0.000	0.000	0.000	
3fql_protein	3fql_ligand	-162.679	-0.183	0.000	0.000	0.000	
3fjg_protein	3fjg_ligand	-55.706	-0.145	0.000	0.000	0.000	
3fv3_protein	3fv3_ligand	-188.726	-0.221	0.000	0.000	0.000	
3fur_protein	3fur_ligand	-136.286	-0.185	0.000	0.000	0.000	
3g1v_protein	3g1v_ligand	-113.408	-0.188	0.000	0.000	0.000	
3g2y_protein	3g2y_ligand	-39.612	-0.134	0.000	0.000	0.000	
3g0i_protein	3g0i_ligand	-63.373	-0.189	0.000	0.000	0.000	
3g30_protein	3g30_ligand	-59.592	-0.150	0.000	0.000	0.000	
3g3r_protein	3g3r_ligand	-22.103	-0.064	0.000	0.000	0.000	
3g35_protein	3g35_ligand	-93.611	-0.173	0.000	0.000	0.000	
3fj7_protein	3fj7_ligand	-63.541	-0.165	0.000	0.000	0.000	
3fzy_protein	3fzy_ligand	-92.386	-0.134	0.000	0.000	0.000	
3gbb_protein	3gbb_ligand	-114.362	-0.194	0.000	0.000	0.000	
3g31_protein	3g31_ligand	-42.532	-0.224	0.000	0.000	0.000	
3ga5_protein	3ga5_ligand	-124.105	-0.186	0.000	0.000	0.000	
3fqe_protein	3fqe_ligand	-119.293	-0.195	0.000	0.000	0.000	
3gi5_protein	3gi5_ligand	-193.902	-0.207	0.000	0.000	0.000	
3fzn_protein	3fzn_ligand	-230.772	-0.202	0.000	0.000	0.000	
3gbe_protein	3gbe_ligand	-56.852	-0.145	0.000	0.000	0.000	
3ggu_protein	3ggu_ligand	-187.662	-0.206	0.000	0.000	0.000	
3gcu_protein	3gcu_ligand	-191.872	-0.202	0.000	0.000	0.000	
3gjw_protein	3gjw_ligand	-79.920	-0.155	0.000	0.000	0.000	
3gkz_protein	3gkz_ligand	-76.770	-0.197	0.000	0.000	0.000	
3gk1_protein	3gk1_ligand	-69.870	-0.203	0.000	0.000	0.000	
3gnw_protein	3gnw_ligand	-146.086	-0.188	0.000	0.000	0.000	
3gm0_protein	3gm0_ligand	-87.896	-0.193	0.000	0.000	0.000	
3gi4_protein	3gi4_ligand	-200.796	-0.209	0.000	0.000	0.000	
3g34_protein	3g34_ligand	-42.560	-0.133	0.000	0.000	0.000	
3gcp_protein	3gcp_ligand	-126.028	-0.187	0.000	0.000	0.000	
3gba_protein	3gba_ligand	-138.097	-0.193	0.000	0.000	0.000	
3gqz_protein	3gqz_ligand	-43.357	-0.120	0.000	0.000	0.000	
3gcs_protein	3gcs_ligand	-161.315	-0.198	0.000	0.000	0.000	
3gr2_protein	3gr2_ligand	-42.638	-0.162	0.000	0.000	0.000	
3gsm_protein	3gsm_ligand	-46.966	-0.164	0.000	0.000	0.000	
3gs6_protein	3gs6_ligand	-55.352	-0.162	0.000	0.000	0.000	
3gy3_protein	3gy3_ligand	-133.168	-0.196	0.000	0.000	0.000	
3gdt_protein	3gdt_ligand	-50.389	-0.153	0.000	0.000	0.000	
3fl5_protein	3fl5_ligand	-92.554	-0.157	0.000	0.000	0.000	
3gvb_protein	3gvb_ligand	-71.678	-0.147	0.000	0.000	0.000	
3gvu_protein	3gvu_ligand	-202.376	-0.213	0.000	0.000	0.000	
3h8b_protein	3h8b_ligand	-203.701	-0.182	0.000	0.000	0.000	
3gss_protein	3gss_ligand	-122.741	-0.173	0.000	0.000	0.000	
3gy4_protein	3gy4_ligand	-75.770	-0.198	0.000	0.000	0.000	
3h5b_protein	3h5b_ligand	-187.250	-0.187	0.000	0.000	0.000	
3h89_protein	3h89_ligand	-195.814	-0.173	0.000	0.000	0.000	
3h1x_protein	3h1x_ligand	-63.880	-0.146	0.000	0.000	0.000	
3hcm_protein	3hcm_ligand	-28.986	-0.153	0.000	0.000	0.000	
3gx0_protein	3gx0_ligand	-115.183	-0.160	0.000	0.000	0.000	
3hit_protein	3hit_ligand	-192.574	-0.182	0.000	0.000	0.000	
3hek_protein	3hek_ligand	-124.303	-0.184	0.000	0.000	0.000	
3hb4_protein	3hb4_ligand	-158.104	-0.214	0.000	0.000	0.000	
3h78_protein	3h78_ligand	-56.649	-0.183	0.000	0.000	0.000	
3hkw_protein	3hkw_ligand	-136.181	-0.205	0.000	0.000	0.000	
3gst_protein	3gst_ligand	-151.744	-0.192	0.000	0.000	0.000	
3hl7_protein	3hl7_ligand	-122.682	-0.213	0.000	0.000	0.000	
3gv9_protein	3gv9_ligand	-50.622	-0.176	0.000	0.000	0.000	
3hmo_protein	3hmo_ligand	-130.330	-0.224	0.000	0.000	0.000	
3hl8_protein	3hl8_ligand	-67.993	-0.177	0.000	0.000	0.000	
3hky_protein	3hky_ligand	-126.980	-0.194	0.000	0.000	0.000	
3hmp_protein	3hmp_ligand	-72.255	-0.200	0.000	0.000	0.000	
3hub_protein	3hub_ligand	-160.934	-0.206	0.000	0.000	0.000	
3g19_protein	3g19_ligand	-114.639	-0.228	0.000	0.000	0.000	
3gi6_protein	3gi6_ligand	-192.641	-0.207	0.000	0.000	0.000	
3gy2_protein	3gy2_ligand	-96.331	-0.160	0.000	0.000	0.000	
3hll_protein	3hll_ligand	-134.415	-0.199	0.000	0.000	0.000	
3hp9_protein	3hp9_ligand	-75.589	-0.160	0.000	0.000	0.000	
3h30_protein	3h30_ligand	-61.246	-0.173	0.000	0.000	0.000	
3hk1_protein	3hk1_ligand	-96.113	-0.194	0.000	0.000	0.000	
3huc_protein	3huc_ligand	-115.313	-0.186	0.000	0.000	0.000	
3hv8_protein	3hv8_ligand	-163.666	-0.180	0.000	0.000	0.000	
3i7e_protein	3i7e_ligand	-184.955	-0.208	0.000	0.000	0.000	
3i60_protein	3i60_ligand	-153.858	-0.194	0.000	0.000	0.000	
3hvi_protein	3hvi_ligand	-212.544	-0.180	0.000	0.000	0.000	
3i6o_protein	3i6o_ligand	-222.356	-0.206	0.000	0.000	0.000	
3hww_protein	3hww_ligand	-14.024	-0.054	0.000	0.000	0.000	
3gy7_protein	3gy7_ligand	-75.503	-0.206	0.000	0.000	0.000	
3hvj_protein	3hvj_ligand	-212.267	-0.178	0.000	0.000	0.000	
3i25_protein	3i25_ligand	-339.787	-0.202	0.000	0.000	0.000	
3i5z_protein	3i5z_ligand	-149.118	-0.195	0.000	0.000	0.000	
3ies_protein	3ies_ligand	-211.759	-0.169	0.000	0.000	0.000	
3ifl_protein	3ifl_ligand	-186.243	-0.199	0.000	0.000	0.000	
3i9g_protein	3i9g_ligand	-148.988	-0.213	0.000	0.000	0.000	
3hu3_protein	3hu3_ligand	-163.065	-0.190	0.000	0.000	0.000	
3iae_protein	3iae_ligand	-209.675	-0.186	0.000	0.000	0.000	
3ikd_protein	3ikd_ligand	-97.114	-0.188	0.000	0.000	0.000	
3ijh_protein	3ijh_ligand	-73.754	-0.169	0.000	0.000	0.000	
3imc_protein	3imc_ligand	-77.257	-0.194	0.000	0.000	0.000	
3ioe_protein	3ioe_ligand	-149.049	-0.191	0.000	0.000	0.000	
3ip8_protein	3ip8_ligand	-72.587	-0.188	0.000	0.000	0.000	
3ikg_protein	3ikg_ligand	-104.865	-0.197	0.000	0.000	0.000	
3ip6_protein	3ip6_ligand	-59.312	-0.164	0.000	0.000	0.000	
3ip5_protein	3ip5_ligand	-39.926	-0.138	0.000	0.000	0.000	
3iob_protein	3iob_ligand	-112.295	-0.185	0.000	0.000	0.000	
3ime_protein	3ime_ligand	-41.949	-0.131	0.000	0.000	0.000	
3ip9_protein	3ip9_ligand	-48.652	-0.165	0.000	0.000	0.000	
3i4b_protein	3i4b_ligand	-152.015	-0.196	0.000	0.000	0.000	
3ipq_protein	3ipq_ligand	-222.208	-0.204	0.000	0.000	0.000	
3ipu_protein	3ipu_ligand	-156.441	-0.180	0.000	0.000	0.000	
3jrs_protein	3jrs_ligand	-75.949	-0.191	0.000	0.000	0.000	
3iqu_protein	3iqu_ligand	-108.039	-0.173	0.000	0.000	0.000	
3isj_protein	3isj_ligand	-97.558	-0.184	0.000	0.000	0.000	
3iss_protein	3iss_ligand	-148.995	-0.174	0.000	0.000	0.000	
3ivg_protein	3ivg_ligand	-140.123	-0.168	0.000	0.000	0.000	
3iue_protein	3iue_ligand	-134.533	-0.183	0.000	0.000	0.000	
3iw6_protein	3iw6_ligand	-128.625	-0.191	0.000	0.000	0.000	
3ivx_protein	3ivx_ligand	-139.787	-0.165	0.000	0.000	0.000	
3iub_protein	3iub_ligand	-108.557	-0.171	0.000	0.000	0.000	
3ivc_protein	3ivc_ligand	-125.112	-0.162	0.000	0.000	0.000	
3jup_protein	3jup_ligand	-82.229	-0.190	0.000	0.000	0.000	
3jy0_protein	3jy0_ligand	-75.268	-0.170	0.000	0.000	0.000	
3jrx_protein	3jrx_ligand	-181.022	-0.228	0.000	0.000	0.000	
3juo_protein	3juo_ligand	-78.526	-0.187	0.000	0.000	0.000	
3jvr_protein	3jvr_ligand	-102.038	-0.197	0.000	0.000	0.000	
3jdw_protein	3jdw_ligand	-49.483	-0.171	0.000	0.000	0.000	
3jzj_protein	3jzj_ligand	-216.139	-0.190	0.000	0.000	0.000	
3jyr_protein	3jyr_ligand	-186.549	-0.181	0.000	0.000	0.000	
3iph_protein	3iph_ligand	-154.522	-0.221	0.000	0.000	0.000	
3ioc_protein	3ioc_ligand	-153.362	-0.194	0.000	0.000	0.000	
3jya_protein	3jya_ligand	-61.489	-0.175	0.000	0.000	0.000	
3k02_protein	3k02_ligand	-234.886	-0.196	0.000	0.000	0.000	
3jvs_protein	3jvs_ligand	-115.406	-0.190	0.000	0.000	0.000	
3iw5_protein	3iw5_ligand	-173.782	-0.195	0.000	0.000	0.000	
3k99_protein	3k99_ligand	-101.045	-0.195	0.000	0.000	0.000	
3jzh_protein	3jzh_ligand	-101.128	-0.165	0.000	0.000	0.000	
3kdb_protein	3kdb_ligand	-232.932	-0.208	0.000	0.000	0.000	
3k5v_protein	3k5v_ligand	-107.168	-0.181	0.000	0.000	0.000	
3kdc_protein	3kdc_ligand	-231.324	-0.205	0.000	0.000	0.000	
3k8q_protein	3k8q_ligand	-95.667	-0.191	0.000	0.000	0.000	
3k8c_protein	3k8c_ligand	-65.726	-0.166	0.000	0.000	0.000	
3kiv_protein	3kiv_ligand	-27.356	-0.117	0.000	0.000	0.000	
3kdd_protein	3kdd_ligand	-222.826	-0.195	0.000	0.000	0.000	
3k4q_protein	3k4q_ligand	-50.488	-0.085	0.000	0.000	0.000	
3k8o_protein	3k8o_ligand	-98.540	-0.165	0.000	0.000	0.000	
3kgt_protein	3kgt_ligand	-76.500	-0.177	0.000	0.000	0.000	
3kdm_protein	3kdm_ligand	-135.695	-0.243	0.000	0.000	0.000	
3kku_protein	3kku_ligand	-97.796	-0.193	0.000	0.000	0.000	
3k4d_protein	3k4d_ligand	-50.726	-0.115	0.000	0.000	0.000	
3k97_protein	3k97_ligand	-91.652	-0.183	0.000	0.000	0.000	
3kgp_protein	3kgp_ligand	-57.437	-0.160	0.000	0.000	0.000	
3k37_protein	3k37_ligand	-98.866	-0.176	0.000	0.000	0.000	
3kqr_protein	3kqr_ligand	-23.438	-0.119	0.000	0.000	0.000	
3k00_protein	3k00_ligand	-211.824	-0.170	0.000	0.000	0.000	
3kgu_protein	3kgu_ligand	-71.093	-0.179	0.000	0.000	0.000	
3kjd_protein	3kjd_ligand	-88.024	-0.175	0.000	0.000	0.000	
3k1j_protein	3k1j_ligand	-148.278	-0.183	0.000	0.000	0.000	
3kmy_protein	3kmy_ligand	-71.525	-0.187	0.000	0.000	0.000	
3kyq_protein	3kyq_ligand	-74.258	-0.204	0.000	0.000	0.000	
3l3m_protein	3l3m_ligand	-115.141	-0.168	0.000	0.000	0.000	
3kv2_protein	3kv2_ligand	-23.539	-0.063	0.000	0.000	0.000	
3ldp_protein	3ldp_ligand	-97.203	-0.133	0.000	0.000	0.000	
3l59_protein	3l59_ligand	-65.442	-0.203	0.000	0.000	0.000	
3l4w_protein	3l4w_ligand	-73.540	-0.159	0.000	0.000	0.000	
3liw_protein	3liw_ligand	-160.412	-0.190	0.000	0.000	0.000	
3l4y_protein	3l4y_ligand	-87.231	-0.142	0.000	0.000	0.000	
3lgs_protein	3lgs_ligand	-85.729	-0.147	0.000	0.000	0.000	
