Receptor	Ligand	XScore_Score_pK	Energy	HPScore	HMScore	HSScore
2qwd_protein	2qwd_ligand	5.360000	-7.310000	5.20	5.51	5.37	
2vrj_protein	2vrj_ligand	6.120000	-8.350000	6.13	6.17	6.08	
2vvu_protein	2vvu_ligand	7.350000	-10.030000	7.20	7.48	7.38	
2vjx_protein	2vjx_ligand	5.310000	-7.240000	5.26	5.53	5.13	
2vc9_protein	2vc9_ligand	5.470000	-7.470000	5.38	5.58	5.46	
2vvv_protein	2vvv_ligand	7.450000	-10.170000	7.28	7.68	7.40	
2vw5_protein	2vw5_ligand	7.070000	-9.640000	6.87	7.43	6.91	
2vl4_protein	2vl4_ligand	5.390000	-7.360000	5.33	5.64	5.21	
2vwc_protein	2vwc_ligand	6.670000	-9.090000	6.59	6.96	6.45	
2vwl_protein	2vwl_ligand	7.420000	-10.130000	7.31	7.54	7.42	
2vwn_protein	2vwn_ligand	7.430000	-10.130000	7.28	7.63	7.36	
2vwm_protein	2vwm_ligand	7.630000	-10.410000	7.52	7.64	7.74	
2vmf_protein	2vmf_ligand	5.560000	-7.590000	5.47	5.80	5.43	
2vzr_protein	2vzr_ligand	4.790000	-6.540000	4.67	5.06	4.65	
2vwo_protein	2vwo_ligand	7.430000	-10.130000	7.29	7.63	7.37	
2vvs_protein	2vvs_ligand	6.330000	-8.630000	6.04	6.78	6.16	
2vvn_protein	2vvn_ligand	6.020000	-8.210000	5.90	6.19	5.98	
2vyt_protein	2vyt_ligand	4.040000	-5.520000	4.16	4.20	3.77	
2w5g_protein	2w5g_ligand	4.790000	-6.530000	4.83	4.93	4.59	
2w9h_protein	2w9h_ligand	5.400000	-7.370000	5.53	5.64	5.02	
2vot_protein	2vot_ligand	6.450000	-8.790000	6.21	6.89	6.24	
2w8y_protein	2w8y_ligand	8.340000	-11.380000	8.69	8.30	8.04	
2vo5_protein	2vo5_ligand	6.440000	-8.780000	6.30	6.94	6.08	
2w47_protein	2w47_ligand	4.750000	-6.480000	4.70	4.95	4.61	
2vxn_protein	2vxn_ligand	4.810000	-6.560000	4.72	5.06	4.65	
2qta_protein	2qta_ligand	6.680000	-9.110000	6.63	6.68	6.72	
2w26_protein	2w26_ligand	6.860000	-9.360000	6.70	7.11	6.78	
2vw1_protein	2vw1_ligand	5.630000	-7.680000	5.51	5.74	5.64	
2vw2_protein	2vw2_ligand	5.100000	-6.950000	5.02	5.20	5.07	
2vqt_protein	2vqt_ligand	5.540000	-7.560000	5.47	5.77	5.38	
2we3_protein	2we3_ligand	5.680000	-7.750000	5.59	5.93	5.52	
2w4x_protein	2w4x_ligand	5.290000	-7.220000	5.23	5.50	5.14	
2wc3_protein	2wc3_ligand	6.160000	-8.400000	5.94	6.71	5.83	
2wc4_protein	2wc4_ligand	6.340000	-8.650000	6.11	6.93	5.99	
2w8j_protein	2w8j_ligand	6.070000	-8.280000	5.94	6.19	6.07	
2w8w_protein	2w8w_ligand	5.890000	-8.040000	5.83	5.96	5.89	
2wf5_protein	2wf5_ligand	5.540000	-7.550000	5.44	5.79	5.38	
2wb5_protein	2wb5_ligand	6.390000	-8.720000	6.28	6.59	6.31	
2web_protein	2web_ligand	7.710000	-10.520000	7.65	8.22	7.27	
2weq_protein	2weq_ligand	6.880000	-9.390000	6.64	7.49	6.51	
2wer_protein	2wer_ligand	6.320000	-8.610000	6.14	6.59	6.22	
2w66_protein	2w66_ligand	5.810000	-7.930000	5.67	5.96	5.81	
2wgj_protein	2wgj_ligand	7.090000	-9.680000	6.88	7.66	6.75	
2wjg_protein	2wjg_ligand	5.560000	-7.590000	5.52	5.79	5.38	
2w67_protein	2w67_ligand	5.690000	-7.760000	5.54	5.84	5.70	
2wca_protein	2wca_ligand	5.940000	-8.100000	5.83	6.34	5.65	
2wec_protein	2wec_ligand	7.260000	-9.900000	6.76	8.12	6.89	
2w08_protein	2w08_ligand	4.410000	-6.010000	4.32	4.61	4.29	
2wkz_protein	2wkz_ligand	9.710000	-13.250000	9.38	10.68	9.08	
2wl0_protein	2wl0_ligand	9.450000	-12.890000	9.07	10.25	9.03	
2wed_protein	2wed_ligand	7.500000	-10.220000	7.33	7.87	7.28	
2wtv_protein	2wtv_ligand	7.670000	-10.470000	7.29	8.34	7.39	
2vhj_protein	2vhj_ligand	5.470000	-7.460000	5.50	5.62	5.30	
2wbg_protein	2wbg_ligand	6.260000	-8.540000	6.01	6.85	5.91	
2wyf_protein	2wyf_ligand	4.860000	-6.640000	4.83	5.07	4.69	
2wky_protein	2wky_ligand	5.970000	-8.140000	5.94	5.97	5.99	
2whp_protein	2whp_ligand	5.490000	-7.490000	5.65	5.57	5.24	
2wyg_protein	2wyg_ligand	6.740000	-9.190000	6.67	6.88	6.68	
2wlz_protein	2wlz_ligand	6.220000	-8.490000	6.16	6.19	6.32	
2wly_protein	2wly_ligand	6.090000	-8.310000	6.06	5.98	6.23	
2wm0_protein	2wm0_ligand	7.060000	-9.630000	7.00	6.93	7.25	
2wyj_protein	2wyj_ligand	6.710000	-9.150000	6.65	6.85	6.63	
2wzm_protein	2wzm_ligand	6.570000	-8.960000	6.52	6.86	6.33	
2x4z_protein	2x4z_ligand	6.850000	-9.340000	6.68	6.82	7.04	
2wr8_protein	2wr8_ligand	7.160000	-9.770000	7.09	7.48	6.93	
2xab_protein	2xab_ligand	6.740000	-9.200000	6.55	7.20	6.48	
2wk6_protein	2wk6_ligand	5.050000	-6.890000	4.82	5.38	4.97	
2wzf_protein	2wzf_ligand	6.250000	-8.520000	6.14	6.54	6.07	
2xb7_protein	2xb7_ligand	6.880000	-9.380000	6.53	7.30	6.80	
2xbv_protein	2xbv_ligand	7.660000	-10.440000	7.58	7.81	7.58	
2xbp_protein	2xbp_ligand	6.950000	-9.480000	6.85	7.27	6.74	
2xbw_protein	2xbw_ligand	8.070000	-11.010000	7.90	8.20	8.10	
2wvt_protein	2wvt_ligand	5.220000	-7.120000	5.12	5.47	5.07	
2wnc_protein	2wnc_ligand	6.070000	-8.280000	6.12	6.21	5.88	
2wn9_protein	2wn9_ligand	5.930000	-8.090000	5.88	6.32	5.59	
2xbx_protein	2xbx_ligand	7.930000	-10.820000	7.78	8.04	7.97	
2xc0_protein	2xc0_ligand	7.720000	-10.530000	7.77	7.81	7.59	
2xde_protein	2xde_ligand	6.680000	-9.120000	6.53	7.22	6.30	
2xc4_protein	2xc4_ligand	7.880000	-10.750000	7.77	7.99	7.90	
2wnj_protein	2wnj_ligand	6.610000	-9.010000	6.86	6.84	6.13	
2wvz_protein	2wvz_ligand	5.490000	-7.490000	5.36	5.77	5.35	
2xdk_protein	2xdk_ligand	5.090000	-6.940000	5.03	5.35	4.88	
2xdx_protein	2xdx_ligand	5.500000	-7.500000	5.40	5.65	5.44	
2xht_protein	2xht_ligand	6.280000	-8.560000	6.14	6.58	6.11	
2wzs_protein	2wzs_ligand	5.260000	-7.170000	5.14	5.52	5.12	
2rd6_protein	2rd6_ligand	5.940000	-8.110000	5.86	5.97	5.99	
2xdl_protein	2xdl_ligand	5.520000	-7.530000	5.31	5.72	5.53	
2xj1_protein	2xj1_ligand	7.100000	-9.690000	7.18	7.43	6.69	
2xj2_protein	2xj2_ligand	6.640000	-9.060000	6.81	6.86	6.25	
2xjj_protein	2xjj_ligand	6.850000	-9.340000	6.65	7.36	6.55	
2xjg_protein	2xjg_ligand	6.520000	-8.890000	6.47	6.78	6.30	
2x00_protein	2x00_ligand	8.190000	-11.170000	8.12	8.49	7.94	
2x2r_protein	2x2r_ligand	6.760000	-9.220000	6.75	7.09	6.43	
2xib_protein	2xib_ligand	5.360000	-7.310000	5.18	5.62	5.28	
2xjx_protein	2xjx_ligand	6.520000	-8.900000	6.43	6.94	6.20	
2xg9_protein	2xg9_ligand	5.370000	-7.330000	5.30	5.61	5.20	
2xii_protein	2xii_ligand	6.600000	-9.000000	6.43	6.54	6.84	
2xog_protein	2xog_ligand	5.460000	-7.450000	5.55	5.52	5.32	
2xp7_protein	2xp7_ligand	5.750000	-7.840000	5.55	6.16	5.53	
2xmy_protein	2xmy_ligand	6.470000	-8.820000	6.48	6.65	6.27	
2xnb_protein	2xnb_ligand	6.790000	-9.260000	6.67	7.19	6.50	
2xn3_protein	2xn3_ligand	6.480000	-8.840000	6.22	6.91	6.31	
2xn5_protein	2xn5_ligand	6.060000	-8.270000	5.97	6.46	5.74	
2xye_protein	2xye_ligand	9.140000	-12.470000	8.58	10.16	8.69	
2xyf_protein	2xyf_ligand	8.700000	-11.870000	8.30	9.47	8.34	
2xxr_protein	2xxr_ligand	5.000000	-6.830000	4.97	5.12	4.93	
2xxt_protein	2xxt_ligand	5.780000	-7.880000	5.65	6.04	5.64	
2xxx_protein	2xxx_ligand	5.020000	-6.850000	4.99	5.13	4.95	
2y5f_protein	2y5f_ligand	6.640000	-9.060000	6.62	6.57	6.73	
2x0y_protein	2x0y_ligand	5.400000	-7.370000	5.38	5.57	5.25	
2y5g_protein	2y5g_ligand	6.500000	-8.870000	6.40	6.46	6.64	
2y5h_protein	2y5h_ligand	6.270000	-8.560000	6.16	6.24	6.42	
2xm2_protein	2xm2_ligand	5.680000	-7.750000	5.56	5.81	5.68	
2y7x_protein	2y7x_ligand	7.180000	-9.800000	7.24	7.13	7.18	
2y7z_protein	2y7z_ligand	7.290000	-9.950000	7.34	7.29	7.24	
2xm1_protein	2xm1_ligand	5.750000	-7.840000	5.60	5.91	5.74	
2y8c_protein	2y8c_ligand	6.460000	-8.820000	6.36	7.09	5.95	
2y80_protein	2y80_ligand	7.280000	-9.930000	7.32	7.27	7.25	
2y81_protein	2y81_ligand	7.410000	-10.110000	7.43	7.42	7.38	
2y82_protein	2y82_ligand	7.360000	-10.040000	7.39	7.36	7.33	
2ya6_protein	2ya6_ligand	5.760000	-7.860000	5.64	5.89	5.77	
2ya7_protein	2ya7_ligand	5.970000	-8.140000	5.83	6.13	5.94	
2ydt_protein	2ydt_ligand	5.410000	-7.390000	5.38	5.61	5.25	
2ya8_protein	2ya8_ligand	5.800000	-7.920000	5.56	6.09	5.76	
2yay_protein	2yay_ligand	6.890000	-9.400000	6.79	7.22	6.66	
2yaz_protein	2yaz_ligand	6.020000	-8.210000	6.01	6.17	5.87	
2ydw_protein	2ydw_ligand	6.890000	-9.400000	6.60	7.73	6.35	
2yek_protein	2yek_ligand	6.460000	-8.810000	6.27	7.04	6.07	
2yb0_protein	2yb0_ligand	5.770000	-7.870000	5.74	5.92	5.64	
2yel_protein	2yel_ligand	6.920000	-9.430000	6.71	7.78	6.26	
2yge_protein	2yge_ligand	6.390000	-8.710000	6.25	6.73	6.19	
2ygf_protein	2ygf_ligand	6.840000	-9.330000	6.69	7.27	6.56	
2yfe_protein	2yfe_ligand	6.680000	-9.110000	6.69	6.96	6.38	
2yfx_protein	2yfx_ligand	6.490000	-8.860000	6.18	7.10	6.20	
2xys_protein	2xys_ligand	6.840000	-9.330000	6.95	7.15	6.41	
2xyt_protein	2xyt_ligand	7.160000	-9.770000	7.18	7.61	6.71	
2yki_protein	2yki_ligand	8.700000	-11.860000	8.89	9.25	7.95	
2yi0_protein	2yi0_ligand	6.210000	-8.470000	6.10	6.34	6.19	
2yi7_protein	2yi7_ligand	6.310000	-8.600000	6.01	6.66	6.24	
2yix_protein	2yix_ligand	7.590000	-10.360000	7.35	7.91	7.52	
2yk1_protein	2yk1_ligand	5.640000	-7.700000	5.72	5.76	5.45	
2ylc_protein	2ylc_ligand	5.000000	-6.830000	5.00	5.18	4.82	
2yxj_protein	2yxj_ligand	8.490000	-11.580000	8.23	9.46	7.77	
2z4o_protein	2z4o_ligand	7.800000	-10.640000	7.68	8.18	7.53	
2zc9_protein	2zc9_ligand	7.020000	-9.580000	6.88	7.21	6.97	
2ypi_protein	2ypi_ligand	4.420000	-6.030000	4.40	4.58	4.27	
2zcq_protein	2zcq_ligand	6.600000	-9.010000	6.70	6.72	6.39	
2zb1_protein	2zb1_ligand	7.720000	-10.530000	7.59	8.06	7.50	
2xpk_protein	2xpk_ligand	7.100000	-9.680000	7.08	6.97	7.24	
2xb8_protein	2xb8_ligand	6.800000	-9.270000	6.85	7.06	6.48	
2zcr_protein	2zcr_ligand	7.380000	-10.070000	7.41	7.79	6.93	
2zdl_protein	2zdl_ligand	6.430000	-8.770000	6.30	6.61	6.39	
2zdk_protein	2zdk_ligand	6.670000	-9.100000	6.54	6.90	6.57	
2zdm_protein	2zdm_ligand	6.620000	-9.030000	6.49	6.77	6.60	
2zdn_protein	2zdn_ligand	6.560000	-8.940000	6.45	6.74	6.48	
2zda_protein	2zda_ligand	7.010000	-9.560000	6.98	7.22	6.83	
2zcs_protein	2zcs_ligand	6.960000	-9.500000	7.06	7.42	6.41	
2zfp_protein	2zfp_ligand	6.250000	-8.530000	6.04	6.36	6.35	
2zfs_protein	2zfs_ligand	6.630000	-9.040000	6.50	6.77	6.61	
2zft_protein	2zft_ligand	6.480000	-8.830000	6.33	6.62	6.47	
2zgx_protein	2zgx_ligand	6.410000	-8.740000	6.31	6.50	6.41	
2zq2_protein	2zq2_ligand	7.000000	-9.550000	6.85	7.35	6.80	
2zmm_protein	2zmm_ligand	6.700000	-9.140000	6.37	7.50	6.22	
2zjw_protein	2zjw_ligand	5.830000	-7.960000	5.90	6.20	5.41	
2zn7_protein	2zn7_ligand	6.990000	-9.540000	6.52	8.13	6.33	
2x6x_protein	2x6x_ligand	5.670000	-7.740000	5.63	5.75	5.63	
2zy1_protein	2zy1_ligand	6.480000	-8.840000	6.46	6.83	6.14	
2za5_protein	2za5_ligand	7.420000	-10.130000	7.41	7.33	7.53	
2yme_protein	2yme_ligand	6.120000	-8.350000	6.01	6.42	5.94	
2xj7_protein	2xj7_ligand	6.070000	-8.280000	5.88	6.23	6.10	
2zz1_protein	2zz1_ligand	6.440000	-8.790000	6.28	6.79	6.25	
2zkj_protein	2zkj_ligand	6.030000	-8.220000	5.96	6.28	5.84	
2zym_protein	2zym_ligand	7.460000	-10.180000	7.45	7.66	7.28	
2zz2_protein	2zz2_ligand	6.230000	-8.500000	6.13	6.47	6.10	
3a2o_protein	3a2o_ligand	8.010000	-10.920000	7.83	8.21	7.98	
3a6t_protein	3a6t_ligand	5.870000	-8.000000	5.79	6.11	5.70	
2xda_protein	2xda_ligand	6.950000	-9.470000	6.94	7.10	6.80	
3a1c_protein	3a1c_ligand	6.250000	-8.530000	6.20	6.51	6.05	
3a1d_protein	3a1d_ligand	5.840000	-7.970000	5.82	6.05	5.66	
3aau_protein	3aau_ligand	5.980000	-8.160000	5.87	6.09	5.99	
3a1e_protein	3a1e_ligand	6.080000	-8.300000	6.10	6.27	5.89	
3aaq_protein	3aaq_ligand	6.250000	-8.520000	5.86	6.90	5.98	
3acw_protein	3acw_ligand	7.130000	-9.730000	7.16	7.62	6.62	
3acx_protein	3acx_ligand	7.240000	-9.880000	7.33	7.59	6.81	
3aid_protein	3aid_ligand	7.800000	-10.640000	7.14	8.63	7.62	
3ag9_protein	3ag9_ligand	5.560000	-7.580000	5.80	5.66	5.22	
3ai8_protein	3ai8_ligand	5.140000	-7.010000	5.06	5.30	5.06	
3a5y_protein	3a5y_ligand	6.740000	-9.190000	6.89	6.74	6.59	
3agl_protein	3agl_ligand	7.080000	-9.650000	7.20	7.01	7.02	
3ap4_protein	3ap4_ligand	4.680000	-6.380000	4.64	4.88	4.51	
2xd9_protein	2xd9_ligand	6.730000	-9.180000	6.64	6.98	6.58	
3b1m_protein	3b1m_ligand	7.900000	-10.780000	7.93	8.40	7.38	
3alt_protein	3alt_ligand	4.510000	-6.150000	4.50	4.68	4.35	
3axz_protein	3axz_ligand	5.940000	-8.100000	5.89	6.13	5.79	
3arp_protein	3arp_ligand	6.780000	-9.250000	6.96	6.80	6.57	
3arq_protein	3arq_ligand	6.690000	-9.120000	6.56	7.36	6.14	
3arw_protein	3arw_ligand	5.820000	-7.940000	5.94	6.21	5.31	
3arx_protein	3arx_ligand	5.360000	-7.310000	5.34	5.39	5.36	
3b4p_protein	3b4p_ligand	6.370000	-8.690000	6.30	6.72	6.08	
3b3x_protein	3b3x_ligand	4.470000	-6.090000	4.44	4.56	4.40	
3b5r_protein	3b5r_ligand	7.500000	-10.230000	7.49	7.87	7.14	
3b24_protein	3b24_ligand	4.910000	-6.690000	4.70	4.95	5.06	
3b25_protein	3b25_ligand	5.960000	-8.120000	5.94	6.11	5.82	
3b26_protein	3b26_ligand	6.090000	-8.310000	6.03	6.33	5.90	
3b27_protein	3b27_ligand	5.650000	-7.710000	5.47	6.01	5.48	
3b65_protein	3b65_ligand	7.540000	-10.290000	7.55	7.95	7.13	
3b66_protein	3b66_ligand	7.560000	-10.310000	7.71	7.87	7.10	
3b67_protein	3b67_ligand	7.120000	-9.710000	7.12	7.37	6.86	
3b68_protein	3b68_ligand	7.960000	-10.860000	8.01	8.17	7.70	
3be9_protein	3be9_ligand	7.340000	-10.010000	7.32	7.52	7.18	
3bgb_protein	3bgb_ligand	7.230000	-9.870000	7.02	7.68	7.00	
3bfu_protein	3bfu_ligand	5.370000	-7.320000	5.29	5.58	5.24	
3bex_protein	3bex_ligand	5.300000	-7.230000	5.24	5.45	5.21	
3b2q_protein	3b2q_ligand	5.540000	-7.560000	5.69	5.57	5.36	
2zq0_protein	2zq0_ligand	7.030000	-9.590000	7.02	7.29	6.78	
3bgc_protein	3bgc_ligand	8.130000	-11.090000	8.06	8.88	7.46	
3b7j_protein	3b7j_ligand	5.100000	-6.950000	5.01	5.34	4.94	
3bgq_protein	3bgq_ligand	6.810000	-9.290000	6.69	7.22	6.53	
3brn_protein	3brn_ligand	5.400000	-7.360000	5.77	5.19	5.24	
3bgz_protein	3bgz_ligand	7.050000	-9.610000	7.14	7.53	6.48	
3bu1_protein	3bu1_ligand	4.570000	-6.230000	4.62	4.64	4.46	
3bqc_protein	3bqc_ligand	6.380000	-8.700000	6.41	6.80	5.92	
3bra_protein	3bra_ligand	4.620000	-6.300000	4.50	4.95	4.41	
2ypo_protein	2ypo_ligand	5.630000	-7.680000	5.48	5.96	5.45	
3bbb_protein	3bbb_ligand	4.970000	-6.780000	5.07	5.07	4.79	
3bbf_protein	3bbf_ligand	5.360000	-7.310000	5.36	5.53	5.18	
3bva_protein	3bva_ligand	8.400000	-11.460000	8.16	8.98	8.07	
3bvb_protein	3bvb_ligand	7.750000	-10.570000	7.53	8.30	7.41	
3buf_protein	3buf_ligand	4.820000	-6.580000	4.58	5.22	4.66	
3bug_protein	3bug_ligand	4.970000	-6.780000	4.82	5.27	4.82	
3bv9_protein	3bv9_ligand	6.950000	-9.480000	6.80	7.39	6.67	
3buh_protein	3buh_ligand	5.340000	-7.280000	5.18	5.62	5.20	
3bwj_protein	3bwj_ligand	6.790000	-9.260000	6.95	6.77	6.65	
3bzf_protein	3bzf_ligand	8.920000	-12.170000	8.55	9.50	8.71	
3bxe_protein	3bxe_ligand	4.620000	-6.310000	4.57	4.84	4.46	
3bxf_protein	3bxf_ligand	5.670000	-7.740000	5.56	5.99	5.48	
3bxg_protein	3bxg_ligand	5.720000	-7.800000	5.58	6.02	5.55	
3bxh_protein	3bxh_ligand	5.630000	-7.680000	5.49	5.95	5.45	
3bgs_protein	3bgs_ligand	5.520000	-7.530000	5.61	5.64	5.32	
3c4h_protein	3c4h_ligand	5.410000	-7.380000	5.40	5.32	5.51	
3c39_protein	3c39_ligand	4.790000	-6.530000	4.67	5.08	4.61	
3c84_protein	3c84_ligand	5.970000	-8.150000	5.99	6.15	5.78	
3c2f_protein	3c2f_ligand	4.590000	-6.270000	4.60	4.78	4.41	
3c2r_protein	3c2r_ligand	5.140000	-7.010000	4.98	5.34	5.09	
3ccz_protein	3ccz_ligand	6.830000	-9.320000	6.58	7.01	6.91	
3ccw_protein	3ccw_ligand	6.970000	-9.510000	6.66	7.29	6.95	
3cct_protein	3cct_ligand	7.920000	-10.800000	7.38	8.70	7.68	
2ymd_protein	2ymd_ligand	5.760000	-7.850000	5.94	5.69	5.64	
3c2o_protein	3c2o_ligand	5.000000	-6.820000	4.92	5.14	4.94	
3cfn_protein	3cfn_ligand	6.400000	-8.730000	6.13	6.95	6.13	
3cft_protein	3cft_ligand	5.610000	-7.650000	5.44	6.06	5.32	
3cd0_protein	3cd0_ligand	6.920000	-9.440000	6.70	6.99	7.07	
3ckb_protein	3ckb_ligand	4.960000	-6.770000	5.04	5.06	4.78	
3cf8_protein	3cf8_ligand	5.850000	-7.980000	5.80	6.22	5.53	
3cj5_protein	3cj5_ligand	6.330000	-8.640000	6.16	6.64	6.19	
3ckp_protein	3ckp_ligand	7.110000	-9.690000	7.14	7.46	6.72	
3cd5_protein	3cd5_ligand	7.980000	-10.880000	7.65	8.31	7.98	
3cow_protein	3cow_ligand	7.340000	-10.010000	7.14	7.68	7.19	
3cs7_protein	3cs7_ligand	7.430000	-10.140000	7.55	7.44	7.31	
3coy_protein	3coy_ligand	7.260000	-9.900000	7.05	7.61	7.11	
3coz_protein	3coz_ligand	6.940000	-9.460000	6.78	7.25	6.78	
3cyw_protein	3cyw_ligand	7.700000	-10.510000	7.53	8.21	7.38	
3cyx_protein	3cyx_ligand	9.060000	-12.350000	8.64	9.79	8.74	
3cyz_protein	3cyz_ligand	5.140000	-7.010000	5.40	5.03	4.99	
3cz1_protein	3cz1_ligand	5.560000	-7.580000	5.49	5.80	5.38	
3cke_protein	3cke_ligand	5.210000	-7.100000	5.64	4.95	5.03	
3d0b_protein	3d0b_ligand	7.190000	-9.810000	7.42	7.43	6.72	
3d1x_protein	3d1x_ligand	9.090000	-12.390000	8.65	9.83	8.77	
3d1y_protein	3d1y_ligand	9.160000	-12.500000	8.71	9.91	8.87	
3d1z_protein	3d1z_ligand	7.740000	-10.560000	7.55	8.27	7.40	
3d6o_protein	3d6o_ligand	4.860000	-6.640000	4.71	5.25	4.63	
3cda_protein	3cda_ligand	8.000000	-10.910000	7.43	8.90	7.66	
3d6p_protein	3d6p_ligand	4.760000	-6.490000	4.75	4.86	4.66	
3cd7_protein	3cd7_ligand	7.870000	-10.730000	7.34	8.59	7.67	
3d8z_protein	3d8z_ligand	4.860000	-6.630000	4.76	5.02	4.80	
3d78_protein	3d78_ligand	5.540000	-7.560000	5.47	5.78	5.37	
3d7z_protein	3d7z_ligand	8.030000	-10.960000	7.93	8.56	7.61	
3d83_protein	3d83_ligand	8.320000	-11.350000	8.18	8.93	7.86	
3d0e_protein	3d0e_ligand	7.270000	-9.920000	7.12	7.38	7.32	
3d91_protein	3d91_ligand	8.510000	-11.600000	8.21	9.04	8.27	
3cdb_protein	3cdb_ligand	7.670000	-10.460000	7.25	8.67	7.09	
3djk_protein	3djk_ligand	7.540000	-10.290000	7.40	8.00	7.23	
3da9_protein	3da9_ligand	6.870000	-9.370000	6.65	7.39	6.56	
3djo_protein	3djo_ligand	4.860000	-6.630000	4.84	4.99	4.76	
3djp_protein	3djp_ligand	4.800000	-6.550000	4.84	4.87	4.70	
3djq_protein	3djq_ligand	4.660000	-6.350000	4.72	4.73	4.52	
3dk1_protein	3dk1_ligand	7.810000	-10.660000	7.61	8.42	7.42	
3djv_protein	3djv_ligand	5.070000	-6.910000	5.06	5.18	4.96	
3djx_protein	3djx_ligand	4.950000	-6.750000	4.92	5.14	4.78	
3ctt_protein	3ctt_ligand	5.390000	-7.350000	5.29	5.63	5.25	
3dnd_protein	3dnd_ligand	5.190000	-7.070000	5.18	5.26	5.12	
3dne_protein	3dne_ligand	5.810000	-7.930000	5.88	5.94	5.61	
3dp9_protein	3dp9_ligand	6.780000	-9.240000	6.95	6.90	6.47	
3dsz_protein	3dsz_ligand	6.280000	-8.570000	6.42	6.46	5.98	
3e3c_protein	3e3c_ligand	5.290000	-7.220000	5.50	5.26	5.13	
3dzt_protein	3dzt_ligand	6.810000	-9.290000	7.13	6.93	6.37	
3drg_protein	3drg_ligand	9.310000	-12.690000	9.17	9.45	9.29	
3cl0_protein	3cl0_ligand	5.840000	-7.960000	5.50	5.96	6.05	
3e6y_protein	3e6y_ligand	5.830000	-7.950000	5.45	6.68	5.37	
3dri_protein	3dri_ligand	4.750000	-6.480000	4.51	5.16	4.58	
3drf_protein	3drf_ligand	7.220000	-9.840000	7.15	7.38	7.12	
3e92_protein	3e92_ligand	8.270000	-11.280000	8.11	8.75	7.97	
3e93_protein	3e93_ligand	8.860000	-12.080000	8.82	9.48	8.27	
3eax_protein	3eax_ligand	5.320000	-7.260000	4.96	6.16	4.85	
3eb1_protein	3eb1_ligand	4.990000	-6.810000	4.87	5.49	4.62	
3ebl_protein	3ebl_ligand	7.020000	-9.580000	6.96	7.16	6.95	
3eeb_protein	3eeb_ligand	5.560000	-7.590000	5.52	5.86	5.32	
3eko_protein	3eko_ligand	5.500000	-7.510000	5.33	5.77	5.41	
3ekp_protein	3ekp_ligand	7.330000	-10.000000	7.14	7.86	7.00	
3ckz_protein	3ckz_ligand	5.910000	-8.060000	5.77	6.07	5.89	
3ekr_protein	3ekr_ligand	6.340000	-8.640000	6.04	6.76	6.21	
3ekt_protein	3ekt_ligand	7.670000	-10.460000	7.47	8.21	7.33	
3ekv_protein	3ekv_ligand	7.530000	-10.270000	7.35	8.05	7.19	
3ekw_protein	3ekw_ligand	9.010000	-12.300000	8.66	9.83	8.56	
3ekx_protein	3ekx_ligand	8.370000	-11.410000	8.02	8.73	8.36	
3el1_protein	3el1_ligand	8.770000	-11.960000	8.31	9.75	8.26	
3el4_protein	3el4_ligand	8.880000	-12.110000	8.27	9.70	8.67	
3el5_protein	3el5_ligand	8.190000	-11.170000	7.85	8.31	8.41	
3el9_protein	3el9_ligand	8.870000	-12.100000	8.35	9.83	8.43	
3ery_protein	3ery_ligand	9.220000	-12.580000	8.98	9.85	8.83	
3eqr_protein	3eqr_ligand	8.160000	-11.130000	7.80	8.72	7.96	
3evd_protein	3evd_ligand	5.110000	-6.970000	5.14	5.28	4.92	
3ed0_protein	3ed0_ligand	5.850000	-7.970000	5.82	6.21	5.50	
3egt_protein	3egt_ligand	6.350000	-8.660000	6.22	6.63	6.20	
3f3d_protein	3f3d_ligand	5.060000	-6.910000	5.05	5.23	4.91	
3f3c_protein	3f3c_ligand	5.790000	-7.890000	5.81	5.88	5.66	
3f8c_protein	3f8c_ligand	7.240000	-9.880000	7.20	7.60	6.93	
3f8f_protein	3f8f_ligand	7.020000	-9.580000	7.06	7.50	6.50	
3f3e_protein	3f3e_ligand	5.480000	-7.480000	5.40	5.69	5.35	
3f68_protein	3f68_ligand	7.120000	-9.710000	6.92	7.24	7.19	
3f78_protein	3f78_ligand	4.560000	-6.220000	4.53	4.68	4.46	
3exe_protein	3exe_ligand	6.680000	-9.110000	6.67	6.68	6.70	
3exh_protein	3exh_ligand	6.520000	-8.890000	6.49	6.52	6.54	
3fas_protein	3fas_ligand	5.150000	-7.030000	5.11	5.28	5.07	
3f70_protein	3f70_ligand	4.080000	-5.570000	4.17	4.17	3.91	
3fat_protein	3fat_ligand	5.670000	-7.740000	5.61	5.84	5.56	
3ffg_protein	3ffg_ligand	8.650000	-11.800000	8.75	8.96	8.26	
3fhb_protein	3fhb_ligand	5.230000	-7.130000	5.31	5.20	5.18	
3fj7_protein	3fj7_ligand	4.910000	-6.690000	4.73	5.17	4.82	
3fjg_protein	3fjg_ligand	4.620000	-6.300000	4.61	4.79	4.46	
3f80_protein	3f80_ligand	4.700000	-6.400000	4.71	4.72	4.65	
3f48_protein	3f48_ligand	4.820000	-6.580000	4.66	5.04	4.77	
3fqe_protein	3fqe_ligand	6.870000	-9.370000	6.61	7.23	6.78	
3fl5_protein	3fl5_ligand	6.640000	-9.050000	6.75	6.97	6.18	
3fur_protein	3fur_ligand	7.910000	-10.790000	7.46	8.73	7.53	
3fuz_protein	3fuz_ligand	5.070000	-6.910000	5.01	5.20	4.99	
